departure_time_current,departure_time_original,flight_status,delay_minutes,delay_status,destination,flight_number,company,check_in_desk,terminal,boarding_gate,getting_there,date_saved
2025-03-19T07:15:00Z,2025-03-19T07:15:00Z,NA,0,On Time,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),"FIN5573, QTR6857, LAN1519, AAL8726, AVA6028, IBE0403S, VLG5010, IBE0403","Finnair, Qatar Airways, LATAM Airlines, American Airlines, Avianca, Iberia, Vueling",850 - 859,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T07:15:00Z,2025-03-19T07:15:00Z,NA,0,On Time,GINEBRA (GVA),"IBE1275, FIN5569, AAL8821, DTA6484","Iberia, Finnair, American Airlines, TAAG",850 - 859,T4,K,-,2025-03-19T01:14:00Z
2025-03-19T07:15:00Z,2025-03-19T07:15:00Z,NA,0,On Time,LISBOA (LIS),"IBE1139, AAL8545, QTR6917, BAW7081","Iberia, American Airlines, Qatar Airways, British Airways",850 - 859,T4,K,-,2025-03-19T01:14:00Z
2025-03-19T07:20:00Z,2025-03-19T07:20:00Z,NA,0,On Time,A CORUÑA (LCG),"IBE0453, AAL8648","Iberia, American Airlines",850 - 859,T4,K,-,2025-03-19T01:14:00Z
2025-03-19T07:20:00Z,2025-03-19T07:20:00Z,NA,0,On Time,ALICANTE-ELCHE MIGUEL HDEZ. (ALC),"IBE1009, QTR8095, DTA8858, AAL8608, VLG5572, AVA6027","Iberia, Qatar Airways, TAAG, American Airlines, Vueling, Avianca",850 - 859,T4,K,-,2025-03-19T01:14:00Z
2025-03-19T07:20:00Z,2025-03-19T07:20:00Z,NA,0,On Time,BRUSELAS (BRU),"AEA1171, AMX6821","Air Europa, Aeromexico",516 - 532,T2,D,-,2025-03-19T01:14:00Z
2025-03-19T07:20:00Z,2025-03-19T07:20:00Z,NA,0,On Time,MALAGA-COSTA DEL SOL (AGP),"IBS1731, IBE1731, VLG5436, AAL8606, QTR6539, JAL6971, AVA6151","Iberia Express, Iberia, Vueling, American Airlines, Qatar Airways, -, Avianca",850 - 859,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T07:20:00Z,2025-03-19T07:20:00Z,NA,0,On Time,OPORTO (OPO),"IBE0543, DTA6090, AAL8840, VLG5304","Iberia, TAAG, American Airlines, Vueling",850 - 859,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T07:20:00Z,2025-03-19T07:20:00Z,NA,0,On Time,PARIS /ORLY (ORY),"IBE0569, VLG5131, AAL8682","Iberia, Vueling, American Airlines",850 - 859,T4S,M,-,2025-03-19T01:14:00Z
2025-03-19T07:20:00Z,2025-03-19T07:20:00Z,NA,0,On Time,SEVILLA (SVQ),"IBS1751, QTR6909, AAL8696, IBE1751, AVA6070, JAL6975, VLG5494","Iberia Express, Qatar Airways, American Airlines, Iberia, Avianca, -, Vueling",850 - 859,T4,K,-,2025-03-19T01:14:00Z
2025-03-19T07:25:00Z,2025-03-19T07:25:00Z,NA,0,On Time,ASTURIAS (OVD),"IBE0477, VLG5019, AAL8687, AVA6048","Iberia, Vueling, American Airlines, Avianca",850 - 859,T4,K,-,2025-03-19T01:14:00Z
2025-03-19T07:25:00Z,2025-03-19T07:30:00Z,NA,-5,On Time,BILBAO (BIO),"IBE0429, AAL8618, AVA6110, DTA6448, LAN5414, VLG5014","Iberia, American Airlines, Avianca, TAAG, LATAM Airlines, Vueling",850 - 859,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T07:25:00Z,2025-03-19T07:25:00Z,NA,0,On Time,MUNICH (MUC),"DLH1807, AUA7446","Lufthansa, Austrian Airlines",415 - 419,T2,D,-,2025-03-19T01:14:00Z
2025-03-19T07:30:00Z,2025-03-19T07:30:00Z,NA,0,On Time,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),"AEA7701, ARG7322, KAL6651, ETD4302, AMX6896, DAL6768","Air Europa, Aerolíneas Argentinas, KOREAN AIR, Etihad Airways, Aeromexico, Delta",516 - 532,T2,C,-,2025-03-19T01:14:00Z
2025-03-19T07:30:00Z,2025-03-19T07:30:00Z,NA,0,On Time,MILAN /MALPENSA (MXP),"IBE0671, AAL8505","Iberia, American Airlines",850 - 859,T4,K,-,2025-03-19T01:14:00Z
2025-03-19T07:30:00Z,2025-03-19T07:30:00Z,NA,0,On Time,NANTES-ATLANTIQUE (NTE),"IBE1219, AAL8676, VLG5834, QTR8032","Iberia, American Airlines, Vueling, Qatar Airways",850 - 859,T4,K,-,2025-03-19T01:14:00Z
2025-03-19T07:30:00Z,2025-03-19T07:30:00Z,NA,0,On Time,SAN SEBASTIÁN (EAS),"IBE0443, AVA6034, VLG5204","Iberia, Avianca, Vueling",850 - 859,T4,H,-,2025-03-19T01:14:00Z
2025-03-19T07:30:00Z,2025-03-19T07:30:00Z,NA,0,On Time,SANTIAGO-ROSALÍA DE CASTRO (SCQ),"IBE1047, AAL8849, AVA6124","Iberia, American Airlines, Avianca",850 - 859,T4,K,-,2025-03-19T01:14:00Z
